                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.4873,                0.87069,                0.24545,                0.99712,                 1.5326,                 0.6963,                0.82801,                0.79367,                0.33464,                0.68358,                0.83333,                0.83889,                0.56768,                 1.7698,                 1.2072,                0.23779,                 1.3207,                 2.0799,              0.0017954,              0.0017954,              0.0017954
                     33,                 1.5379,                0.92622,                0.24983,                 1.0327,                 1.5691,                0.65956,                0.80556,                0.77576,                 0.2432,                0.78523,                0.91408,                0.93348,                0.55613,                 2.5611,                 2.0816,                0.57608,                 1.5021,                 2.7215,              0.0017888,              0.0017888,              0.0017888
                     34,                 1.4991,                 1.0941,                0.26753,                0.98801,                 1.5341,                0.86259,                0.86111,                0.94711,                0.45581,                  0.901,                0.88889,                 0.9502,                0.69347,                 1.8295,                0.93868,                0.14263,                 1.0696,                 1.9852,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.5002,                0.78853,                0.25307,                 1.0055,                 1.5511,                0.96343,                0.97222,                0.96067,                0.52116,                0.99125,                      1,                  0.995,                0.74577,                 1.4615,                0.55061,                0.04908,                0.89293,                 1.7506,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.5039,                 1.1021,                0.27269,                 0.9759,                 1.5398,                0.98096,                      1,                  0.995,                0.59047,                0.98096,                      1,                  0.995,                0.77454,                 1.2329,                0.47756,                0.02325,                 0.9868,                 1.5713,               0.001769,               0.001769,               0.001769
                     37,                 1.3784,                 1.0823,                0.29912,                0.97583,                 1.4843,                0.99313,                      1,                  0.995,                0.52511,                0.99313,                      1,                  0.995,                0.74087,                 1.3758,                0.52118,                0.02629,                0.93653,                 1.6827,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.4052,                0.90511,                0.22533,                0.97858,                 1.5168,                0.99202,                      1,                  0.995,                 0.5665,                0.99202,                      1,                  0.995,                0.67436,                 1.3836,                0.79546,                0.01761,                0.82496,                 1.6829,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.4619,                0.97164,                 0.2841,                0.98612,                 1.4869,                0.96455,                0.97222,                 0.9571,                0.49746,                0.99239,                      1,                  0.995,                0.75969,                 1.6025,                 0.4921,                0.02561,                0.85495,                 1.8526,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.4857,                0.84333,                0.25903,                0.95781,                 1.5308,                0.96181,                0.97222,                0.97997,                0.52288,                0.97216,                      1,                  0.995,                0.77854,                 1.5077,                0.46026,                0.03613,                0.89963,                 1.7554,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.4753,                0.82394,                0.25603,                0.95157,                 1.5478,                  0.996,                      1,                  0.995,                0.59241,                  0.996,                      1,                  0.995,                0.82262,                 1.2847,                 0.4489,                0.02738,                0.77938,                 1.6363,               0.001736,               0.001736,               0.001736
                     42,                  1.465,                0.87484,                0.19213,                0.87019,                 1.5112,                0.99653,                      1,                  0.995,                0.60927,                0.99653,                      1,                  0.995,                0.81485,                 1.3172,                0.59427,                0.03141,                0.76948,                 1.6586,              0.0017294,              0.0017294,              0.0017294
                     43,                  1.447,                 0.8829,                0.26177,                0.87534,                 1.4809,                0.97209,                      1,                  0.995,                0.62541,                0.97209,                      1,                  0.995,                0.81763,                 1.5083,                0.44595,                0.03096,                0.92673,                  1.768,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.4203,                0.84779,                0.27363,                0.94125,                  1.484,                0.96959,                      1,                  0.995,                0.57398,                0.96959,                      1,                  0.995,                0.80009,                 1.5422,                 0.4257,                0.03281,                 1.4431,                 1.7999,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.4291,                 1.0569,                0.28983,                0.92194,                 1.5308,                0.97293,                0.99853,                0.99365,                0.56202,                0.97293,                0.99853,                0.99365,                0.76399,                  1.416,                0.48987,                0.03124,                 1.4176,                 1.6831,              0.0017096,              0.0017096,              0.0017096
                     46,                  1.421,                0.87454,                0.23193,                0.97824,                 1.4695,                0.87945,                0.97222,                0.97437,                0.59727,                0.91133,                      1,                  0.995,                0.80592,                 1.3109,                0.53927,                 0.0249,                 1.3203,                 1.6016,               0.001703,               0.001703,               0.001703
                     47,                 1.4731,                0.80908,                0.26258,                 1.0363,                 1.5096,                0.94099,                      1,                  0.995,                0.60639,                0.94099,                      1,                  0.995,                0.83538,                 1.2992,                0.44198,                0.02364,                 1.5038,                 1.5973,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.3752,                0.69905,                0.23285,                0.93109,                 1.4351,                 0.9887,                      1,                  0.995,                0.57538,                 0.9887,                      1,                  0.995,                0.76366,                 1.3749,                0.58121,                0.02495,                 1.0653,                 1.6764,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.4966,                0.94202,                 0.2317,                0.97356,                  1.552,                0.99447,                      1,                  0.995,                0.56792,                0.99447,                      1,                  0.995,                0.80205,                  1.353,                0.40587,                0.01891,                0.85505,                 1.6566,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.4917,                0.79941,                0.23631,                0.95628,                  1.537,                0.88164,                0.97222,                0.94346,                0.55449,                0.90683,                      1,                0.95135,                0.69812,                 1.3429,                0.79745,                 0.0145,                0.92675,                 1.6687,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.4327,                0.92112,                0.23931,                0.97702,                 1.5185,                0.68351,                0.97222,                0.73093,                0.43714,                0.70304,                      1,                0.74086,                0.58244,                 1.2738,                0.71997,                0.01855,                 1.2112,                 1.5644,                0.00167,                0.00167,                0.00167
                     52,                 1.4278,                0.76184,                0.18928,                0.94224,                 1.4296,                0.89031,                      1,                0.96066,                0.54804,                0.89031,                      1,                0.96066,                 0.7748,                 1.3647,                0.43864,                0.02104,                 1.0492,                  1.646,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.4198,                0.74447,                0.23738,                0.92608,                 1.5238,                 0.8651,                0.97222,                0.95679,                0.50298,                0.89089,                      1,                0.98254,                0.75584,                 1.3474,                0.55149,                0.02698,                0.95833,                 1.7159,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.4185,                0.61915,                0.20985,                0.95899,                 1.4947,                0.95378,                0.97222,                0.98056,                0.57287,                0.98103,                      1,                  0.995,                0.82301,                 1.1873,                0.48313,                0.02103,                0.91063,                  1.599,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.3498,                0.72264,                0.20675,                0.92314,                 1.4568,                0.96547,                0.97222,                0.98522,                0.61026,                0.99306,                      1,                  0.995,                0.76908,                 1.3544,                0.49775,                 0.0257,                0.78737,                 1.6222,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.4484,                0.59037,                0.19183,                0.94323,                 1.5321,                0.96617,                0.97222,                0.97886,                0.58094,                0.99378,                      1,                  0.995,                0.68833,                 1.3767,                0.89655,                 0.0227,                0.75326,                 1.6397,               0.001637,               0.001637,               0.001637
                     57,                 1.4551,                0.79613,                 0.2289,                0.89947,                 1.5697,                0.96698,                0.97222,                0.97825,                0.58554,                 0.9946,                      1,                  0.995,                0.78271,                  1.491,                0.56736,                0.04096,                0.74713,                  1.784,              0.0016304,              0.0016304,              0.0016304
                     58,                  1.495,                0.78901,                0.18932,                0.93436,                 1.4891,                 0.9638,                      1,                  0.995,                0.57293,                 0.9638,                      1,                  0.995,                0.82114,                 1.4748,                 0.4687,                0.03216,                0.80743,                 1.7678,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.3632,                0.73449,                0.16273,                0.93615,                 1.4691,                0.96504,                0.97222,                0.96634,                0.56218,                0.99261,                      1,                  0.995,                0.83053,                 1.3454,                0.39784,                0.03024,                0.80878,                  1.681,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.4775,                0.80959,                0.20207,                0.94584,                 1.4939,                 0.9916,                      1,                  0.995,                0.60155,                 0.9916,                      1,                  0.995,                0.81144,                   1.32,                 0.4814,                0.02329,                0.82582,                 1.6233,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.3849,                0.95669,                0.25206,                0.96844,                 1.4398,                0.98723,                      1,                  0.995,                0.62362,                0.98723,                      1,                  0.995,                0.80824,                 1.3442,                0.50899,                0.02622,                0.83217,                 1.6665,               0.001604,               0.001604,               0.001604
                     62,                 1.3621,                0.77728,                0.19682,                0.87921,                 1.4092,                0.97268,                0.98927,                0.98473,                 0.6088,                0.99099,                      1,                  0.995,                0.83554,                 1.2924,                0.44989,                0.01378,                0.81926,                 1.5941,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.3376,                0.75187,                 0.1622,                0.91845,                 1.4348,                0.93552,                0.94444,                0.97584,                0.57997,                0.99074,                      1,                  0.995,                0.78684,                 1.3388,                0.67499,                0.00852,                0.83074,                  1.667,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.4035,                0.78989,                0.18531,                0.91037,                 1.4583,                0.93341,                0.94444,                0.97046,                0.58224,                0.98832,                      1,                  0.995,                0.84358,                 1.3405,                0.50041,                0.00982,                0.76583,                 1.5973,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.4266,                0.80595,                0.23393,                 0.8495,                 1.4316,                0.99445,                      1,                  0.995,                0.62371,                0.99445,                      1,                  0.995,                0.79627,                 1.3155,                0.39102,                0.01098,                0.76647,                 1.5556,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.4202,                 0.7873,                0.21153,                0.84583,                 1.4339,                0.96594,                0.97222,                0.97121,                0.59392,                0.99354,                      1,                  0.995,                 0.8155,                 1.2639,                0.38273,                0.01473,                0.75936,                 1.5373,               0.001571,               0.001571,               0.001571
                     67,                 1.3744,                0.72473,                0.17546,                0.90824,                 1.4763,                0.95948,                0.97222,                0.98397,                0.58132,                 0.9869,                      1,                  0.995,                0.82705,                 1.2644,                 0.4343,                0.01818,                0.77631,                 1.5836,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.3255,                 0.6516,                0.17258,                0.93946,                 1.4103,                0.96298,                      1,                0.99446,                0.58769,                0.96298,                      1,                0.99446,                0.82754,                 1.3853,                0.47753,                0.01781,                0.91948,                 1.7307,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.4074,                0.68236,                0.21394,                 0.9706,                  1.492,                0.96098,                0.97222,                0.95936,                0.56072,                0.98844,                      1,                  0.995,                0.80308,                 1.3098,                0.43773,                0.02721,                 0.9357,                  1.668,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.3729,                0.82225,                0.18227,                0.93196,                  1.461,                0.98592,                      1,                  0.995,                0.64737,                0.98592,                      1,                  0.995,                0.81129,                 1.3302,                0.39483,                0.01447,                0.91667,                 1.6501,              0.0015446,              0.0015446,              0.0015446
