                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                   1.57,                  1.273,                0.33505,                 1.1696,                 1.9304,                 0.5438,                    0.5,                0.50695,                0.20847,                 0.5438,                    0.5,                0.52005,                 0.3968,                 1.8689,                 1.4252,                0.11599,                 2.6071,                 2.6453,                0.00167,                0.00167,                0.00167
                     52,                 1.6103,                 1.3549,                0.31936,                 1.1561,                 1.9443,                0.73212,                0.70833,                0.72798,                0.32922,                0.73212,                0.70833,                0.72798,                0.54607,                 1.7616,                  1.084,                0.12715,                  2.189,                 2.4994,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.4833,                 1.1953,                0.30201,                 1.0069,                 1.8803,                0.76618,                0.83333,                0.84323,                0.43083,                0.71619,                0.79167,                0.77701,                 0.5893,                 1.4177,                0.89396,                0.08798,                 1.7669,                 2.2405,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.5705,                 1.4042,                0.32532,                  1.142,                 1.9448,                0.55349,                0.95833,                0.77577,                 0.4613,                0.55277,                0.87551,                0.69743,                  0.555,                 1.3367,                0.85524,                0.07383,                  1.901,                  2.142,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.4915,                  1.039,                0.26867,                 1.1809,                 1.9108,                0.68426,                0.83333,                 0.7613,                0.46843,                0.61866,                   0.75,                0.68676,                0.56344,                 1.2932,                0.98559,                0.06767,                 2.1565,                 2.0935,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.4045,                 1.4425,                0.28371,                 1.1613,                  1.864,                0.75388,                0.91667,                 0.9387,                0.43544,                 0.6466,                0.79167,                0.74442,                0.63753,                  1.517,                0.94478,                 0.0462,                 1.6521,                 2.3927,               0.001637,               0.001637,               0.001637
                     57,                 1.4257,                 1.2977,                0.25292,                 1.0455,                 1.8428,                0.96843,                0.95833,                0.98409,                0.45928,                0.75308,                0.83333,                0.78609,                0.70093,                 1.5328,                0.84022,                0.03867,                 1.3774,                 2.3511,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.4861,                 1.2938,                0.29665,                 1.1079,                 1.9175,                0.82421,                0.78177,                0.89801,                0.43815,                0.76278,                0.80422,                0.76969,                 0.6395,                 1.4709,                0.83534,                0.04533,                 1.5468,                  2.276,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.4965,                 1.1445,                0.32127,                 1.0474,                   1.86,                0.98025,                0.95833,                0.98167,                0.48667,                0.93701,                0.91667,                0.94641,                0.68364,                 1.5347,                 0.9115,                 0.0501,                 1.4409,                 2.3577,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.5154,                 1.4119,                0.29639,                 1.1039,                 1.9289,                0.92089,                0.97036,                0.99026,                0.49712,                 0.8823,                0.93745,                0.96576,                0.61411,                 1.5875,                 1.1355,                0.05789,                 1.1266,                 2.4633,              0.0016106,              0.0016106,              0.0016106
